HVQ_039_01_000001	NHÀ XUẤT BẢN KHOA HỌC XÃ HỘI luận trong HÙNG VƯƠNG DỰNG NƯỚC tập I là cán bộ thuộc nhiều cơ quan, như Viện Khảo cổ học, Viện Sử học, Viện Bảo tàng Lịch sử, Trường Đại học Tổng hợp, Viện Bảo tồn Bảo tàng, Viện Mỹ thuật Mỹ nghệ, Viện Dân tộc học, Viện Văn học, Viện Kinh tế học, Hội Hình thái người, Đoàn Địa chất 58, Bản Tuyên giáo Tỉnh ủy Vĩnh Phú.
HVQ_039_01_000002	ỦY BAN KHOA HỌC XÃ HỘI VIỆT NAM VIỆN KHẢO CỔ HỌC HÙNG VƯƠNG DỰNG NƯỚC TẬP I GỒM CÁC BÀI PHÁT BIỂU, BÁO CÁO VÀ THAM LUẬN ĐỌC TẠI HỘI NGHỊ NGHIÊN CỨU THỜI KỲ LỊCH SỬ HÙNG VƯƠNG, HỌP TẠI HÀ NỘI NGÀY 16 THÁNG 12 NĂM 1968, DO VIỆN KHẢO CỔ HỌC PHỐI HỢP VỚI VIỆN SỬ HỌC, VIỆN BẢO TÀNG LỊCH SỬ.
HVQ_039_01_000003	TRƯỜNG ĐẠI HỌC TỔNG HỢP, TỔ CHỨC.
HVQ_039_01_000004	NHÀ XUẤT BẢN KHOA HỌC XÃ HỘI HÀ NỘI - 1970 «CÁC VUA HÙNG ĐÃ CÓ CÔNG DỤNG NƯỚC, BÁC CHÁU TA PHẢI CÙNG NHAU GÌ LÁI NƯỚC» HỒ CHÍ MINH - 1970. BÀI NÓI TẠI HỘI NGHỊ KHẢO CỐ HỌC BÀN VIỆC NGHIÊN CỨU THỜI KỲ LỊCH SỬ HÙNG VƯƠNG ngày 16-12-1968. PHẠM VĂN ĐỒNG, hôm nay, tôi nói chuyện vì các đồng chí về những điều tôi đã suy nghĩ và hôm nay các đồng chí sẽ trình bày.
HVQ_039_01_000005	Trước hết, đánh giá hiện nay, tôi nghĩ hiện có một điều rất tốt, và chúng ta đáng phán khi về cái vấn đề này.
HVQ_039_01_000006	Ta cần tiếp tục nghiên cứu tịch ký Hùng Vương, nhưng tiếp tục như thế nào thì những bức sáp này có kẹt quá nhiều hơn nữa.
HVQ_039_01_000007	Hiện nay này cho thấy rõ nhưng cái tốt của công việc các đồng chí làm trong tháng nay.
HVQ_039_01_000008	Tốt cho các đồng chí đang viên được nhiều người thực nghiệm ngành.
HVQ_039_01_000009	Đây là bức đầu rất dặn phán khi.
HVQ_039_01_000010	Còn về những ý kiến nêu lên hôm nay, thì ta chưa đưa đánh giá.
HVQ_039_01_000011	Vì sao?
HVQ_039_01_000012	Vì khoa học là việc lâu dài, khoa học là kiên trì, không thể nào chúng ta mong muốn có thành tựu, có kết quả ngày đúc trong lúc chúng ta đúng trước như vạn đề rất khó, rất mỏi mà chúng ta chưa có chuẩn bị, kiến thức chưa có bao nhiêu, kinh nghiệm chưa có hay có rất ít.
HVQ_039_01_000013	Đồng thời, cũng phải ai thấy nhưng chưa tốt trong lúc nghiên cứu.
HVQ_039_01_000014	Chúng ta phải có thái độ đúng đắn, vì chúng ta đúng trước nhưng vạn đề rất khó khăn, rất phức tạp, mà chúng ta thì chưa làm quen vì vạn đề đó, chưa có kiến thức, chưa có kinh nghiệm.
HVQ_039_01_000015	Trong tình hình như vậy mà mình sẽ không được kết luận nhanh quá!
HVQ_039_01_000016	Rõ ràng là có nhưng vạn đề kết luận mau quá, nhát định không thể đúng được.
HVQ_039_01_000017	Nó vô vàng, nó nông cạn, thậm chí là nó bùn cối.
HVQ_039_01_000018	Tôi nghĩ, lần này ta không nghĩ khác, lần sau cũng có thì ta.
HVQ_039_01_000019	Nhưng đến lần thứ ba, thứ tư, ta phải nghĩ lại.
HVQ_039_01_000020	Không thể kết luận tùy tiện quá được.
HVQ_039_01_000021	Đây, bản cứ ai cũng không có quyền hành gì suy nghĩ và quyền nói của bản (ú ai).
HVQ_039_01_000022	Nhưng tôi minh phái hàn ch mình, phải biết rằng làm khoa học 8 HÙNG VƯƠNG DÚNG NƯỚC (1) thì phải có cái tiêu chuẩn của khoa học, phải có căn cứ khoa học.
HVQ_039_01_000023	phải có thái độ của người làm khoa học.
HVQ_039_01_000024	Phải thì trong đề gì, phải vắng chạc đến chùng nào thì dần dần mình có tin b. Nói chung là, tôi thấy bức đầu tốt.
HVQ_039_01_000025	Tôi rất mong vì tôi cũng không ngờ đầu trong thời gian ngắn mà các đồng chí làm đủ hiện này, có nhiều người nhiều ngành tham gia.
HVQ_039_01_000026	Tóm lại, chúng ta đánh giá hi nghị này một cách tích cực, nghĩa là tốt.
HVQ_039_01_000027	Điều chú ý tôi muốn nói với các đồng chí là ta phải tiếp tục như thế nào?
HVQ_039_01_000028	Ta làm cái gì và làm như thế nào?
HVQ_039_01_000029	Đây, tôi trình bày về quan điểm hơn là đi vào nói dựng của vấn đề.
HVQ_039_01_000030	Đi vào nội dung của vấn đề, người phải có ủy quyền là các đồng chí, chứ không phải là tôi.
HVQ_039_01_000031	Tôi có ủy quyền về vấn đề đề có tính chất quan điểm, có tính chất phương pháp.
HVQ_039_01_000032	Nếu có thì tôi có ủy quyền về cái mục tiêu tiêu chuẩn.
HVQ_039_01_000033	TẬP TRUNG LỰC LƯỢNG NGHIÊN CỨU ĐỂ TÀI HÙNG VƯƠNG LÀ ĐÚNG. * Trước hết, phải nói vì các dòng chi là đề tài mà các dòng chi ra, về thi đi Hùng Vương, là rất đáng nghiên cứu.
HVQ_039_01_000034	Tôi suy nghĩ không biết nên dùng tiếng « thi đi » hay « thi kỳ », vì dùng « thi đi » thì nó có ủy nghĩa về nội dung, về thực chất cái thời gian.
HVQ_039_01_000035	Tôi muốn dùng « thi kỳ » vì về cái khoảng thời gian đó, ta chưa biết rõ nó ra sao mà gọi nó là « thi đi ».
HVQ_039_01_000036	Dùng « thi kỳ » nó chung hơn, hợp hơn.
HVQ_039_01_000037	Nhưng văn đề này không quan trọng, tùy chúng ta thôi.
